"","fbi","TN","group","CN","SN","Hand","ri","rt","ti","Handdeg"
"19497",1,209,"sixty",27,"6",0.26582138595619,-60,0.500658035278,225,15.2304435196078
"19498",1,209,"sixty",27,"7",0.0785418009260734,-60,0.573663949966,270,4.50011370842071
"19499",1,209,"sixty",27,"8",0.408488893072628,-60,0.383161783218,315,23.4046895510324
"19500",1,209,"sixty",27,"9",0.0931151611164931,-60,0.449162960052,180,5.33510574065573
"19501",1,209,"ninetyfive",27,"1",-0.396167175446127,95,0.532371044159,225,-22.6987071346819
"19502",1,209,"ninetyfive",27,"10",-0.257735576562298,95,0.436097860336,270,-14.7671607673906
"19503",1,209,"ninetyfive",27,"2",-0.100036705474174,95,0.434168100357,270,-5.73168102006343
"19504",1,209,"ninetyfive",27,"3",-0.0511182189086777,95,0.400619983673,315,-2.92885819969307
"19505",1,209,"ninetyfive",27,"4",-0.12330291708117,95,0.458885908127,180,-7.06473675040259
"19506",1,209,"ninetyfive",27,"5",-0.350456774070633,95,0.458776950836,0,-20.0796940560171
"19507",1,209,"ninetyfive",27,"6",-0.122195170691356,95,0.951458930969,90,-7.00126755749539
"19508",1,209,"ninetyfive",27,"7",-0.280411588283361,95,0.537529945374,90,-16.0664005351967
"19509",1,209,"ninetyfive",27,"8",0.0715288506572545,95,0.639638185501,45,4.09830125608225
"19510",1,209,"ninetyfive",27,"9",-0.215880849009154,95,0.471494197845,90,-12.3690615259255
"19511",1,209,"onethirtyfive",27,"1",-0.164746262949427,135,0.517040967941,225,-9.43926555755465
"19512",1,209,"onethirtyfive",27,"10",-0.0035460844270381,135,0.472518920898,270,-0.20317567146635
"19513",1,209,"onethirtyfive",27,"2",-0.0529539814752364,135,0.399497032166,270,-3.03403964694499
"19514",1,209,"onethirtyfive",27,"3",-0.00309596534054898,135,0.468868017197,315,-0.177385747532239
"19515",1,209,"onethirtyfive",27,"4",-0.107278855648403,135,0.465279102325,180,-6.14662565964668
"19516",1,209,"onethirtyfive",27,"5",-0.046561305267471,135,0.419888973236,0,-2.66776628044634
"19517",1,209,"onethirtyfive",27,"6",-0.109792917154023,135,0.485726118088,90,-6.29067077335502
"19518",1,209,"onethirtyfive",27,"7",-1.36658269077753,135,0.174403905869,90,-78.2994205371841
"19519",1,209,"onethirtyfive",27,"8",-0.132730008111306,135,0.588202953339,45,-7.60486927951502
"19520",1,209,"onethirtyfive",27,"9",0.0760860203210853,135,0.60095000267,90,4.3594078443448
"19521",1,209,"oneeightyfive",27,"1",-0.0485056122403835,175,0.540898084641,180,-2.77916686407208
"19522",1,209,"oneeightyfive",27,"10",0.00628922525270833,175,0.441317081451,315,0.360346063387286
"19523",1,209,"oneeightyfive",27,"2",0.144812498238938,175,0.514903068542,45,8.29714496983681
"19524",1,209,"oneeightyfive",27,"3",-0.0533301664401871,175,0.470286130905,0,-3.05559345775294
"19525",1,209,"oneeightyfive",27,"4",0.132875786500616,175,0.427763938904,270,7.61322176596669
"19526",1,209,"oneeightyfive",27,"5",-0.195837928710844,175,0.542159080505,180,-11.2206867837153
"19527",1,209,"oneeightyfive",27,"6",0.0730405653031194,175,0.570228099823,0,4.18491612511842
"19528",1,209,"oneeightyfive",27,"7",-0.043688030791401,175,0.499768972397,315,-2.50313977958486
"19529",1,209,"oneeightyfive",27,"8",0.314757661391309,175,0.416692972183,270,18.0342855671299
"19530",1,209,"oneeightyfive",27,"9",-0.119428926018339,175,0.454884052277,135,-6.84277341263097
"19531",1,210,"zero",27,"1",0.430167301350767,0,0.629921913147,315,24.6467708519312
"19532",1,210,"zero",27,"10",0.0430114315657242,0,0.532998085022,315,2.46437349953176
"19533",1,210,"zero",27,"2",0.048469470710167,0,0.403011083603,0,2.77709610692553
"19534",1,210,"zero",27,"3",0.0654237376331947,0,0.392493009567,180,3.74850404635327
"19535",1,210,"zero",27,"4",-0.105776565784798,0,0.556095123291,225,-6.06055079085683
"19536",1,210,"zero",27,"5",-0.173618828611326,0,0.547376871109,45,-9.94762612343416
"19537",1,210,"zero",27,"6",-0.0560814822492411,0,2.12194514275,270,-3.21323224171936
"19538",1,210,"zero",27,"7",0.288149759980649,0,0.450288057327,135,16.5097651145989
"19539",1,210,"zero",27,"8",-0.0031948773085742,0,0.47745513916,315,-0.183052985843417
"19540",1,210,"zero",27,"9",-0.211299646403231,0,0.343101024628,225,-12.1065779515118
"19541",1,210,"sevenpointfive",27,"1",-0.424297852612201,7.5,0.393049955368,90,-24.310476211143
"19542",1,210,"sevenpointfive",27,"10",-0.212680993490029,7.5,0.527909040451,45,-12.185723309628
"19543",1,210,"sevenpointfive",27,"2",-0.208807332632806,7.5,0.434186935425,45,-11.9637788912441
"19544",1,210,"sevenpointfive",27,"3",-0.300089176733871,7.5,0.474967956543,90,-17.1938433044063
"19545",1,210,"sevenpointfive",27,"4",-0.357208659669654,7.5,0.450542926788,225,-20.4665486045962
"19546",1,210,"sevenpointfive",27,"5",-0.1355277139855,7.5,0.69877409935,225,-7.76516601842529
"19547",1,210,"sevenpointfive",27,"6",-0.0913782778817584,7.5,0.591256856918,270,-5.2355896617984
"19548",1,210,"sevenpointfive",27,"7",-0.24859528388641,7.5,0.517537117004,90,-14.2434605735479
"19549",1,210,"sevenpointfive",27,"8",-0.136792164178671,7.5,0.467875957489,90,-7.83761367789849
"19550",1,210,"sevenpointfive",27,"9",-0.0434508953915309,7.5,0.467871904373,0,-2.48955292199916
"19551",1,210,"fifteen",27,"1",-0.126592127279972,15,0.639392137527,225,-7.25319461272533
"19552",1,210,"fifteen",27,"10",-0.132007906364905,15,0.535054206848,90,-7.56349589706721
"19553",1,210,"fifteen",27,"2",-0.00980360747929619,15,0.535995960236,135,-0.561705332566559
"19554",1,210,"fifteen",27,"3",-0.313620652216698,15,0.449970960617,0,-17.969139740157
"19555",1,210,"fifteen",27,"4",-0.277918996671004,15,0.448668956757,225,-15.9235855557589
"19556",1,210,"fifteen",27,"5",0.00404856087602837,15,0.686201095581,180,0.231965451298213
